exerciseId,name,category,mechanic,patterns,evidenceStatus,sourcePrimary,sourceSecondary,direct,indirect,stabilizers,confidence,reviewReasons,sourceOnlyMuscles,dbppOnlyMuscles
One-Arm_Medicine_Ball_Slam,One-Arm Medicine Ball Slam,strength,compound,medicine_ball_slam,indirect_support,abdominals,"lats, shoulders","abdominals, lats",shoulders,"glutes, quadriceps",medium,indirect_evidence_pattern,,"glutes, quadriceps"
Pallof_Press,Pallof Press,strength,isolation,anti_rotation,indirect_support,abdominals,"chest, shoulders, triceps",abdominals,,,medium,indirect_evidence_pattern,"chest, shoulders, triceps",
Pallof_Press_With_Rotation,Pallof Press With Rotation,strength,compound,anti_rotation,indirect_support,abdominals,"chest, shoulders, triceps",abdominals,,,medium,indirect_evidence_pattern,"chest, shoulders, triceps",
Rope_Climb,Rope Climb,strength,compound,rope_climb,indirect_support,lats,"biceps, forearms, middle back, shoulders","lats, biceps, forearms",middle_back,abdominals,medium,indirect_evidence_pattern,"middle back, shoulders","abdominals, middle_back"
Sled_Drag_-_Harness,Sled Drag - Harness,strongman,compound,sled_pull,indirect_support,quadriceps,"calves, glutes, hamstrings","quadriceps, glutes","hamstrings, calves",forearms,medium,indirect_evidence_pattern,,forearms
Sled_Overhead_Backward_Walk,Sled Overhead Backward Walk,strength,compound,sled_pull,indirect_support,shoulders,"calves, middle back, quadriceps","quadriceps, glutes","hamstrings, calves",forearms,medium,indirect_evidence_pattern,"middle back, shoulders","forearms, glutes, hamstrings"
Spider_Crawl,Spider Crawl,strength,compound,spider_crawl,indirect_support,abdominals,"chest, shoulders, triceps",abdominals,"shoulders, chest, triceps",glutes,medium,indirect_evidence_pattern,,glutes
Advanced_Kettlebell_Windmill,Advanced Kettlebell Windmill,strength,isolation,kettlebell_windmill,complex_supported,abdominals,"glutes, hamstrings, shoulders",abdominals,"glutes, hamstrings","shoulders, triceps",medium,complex_pattern_bookkeeping,,triceps
Alternating_Hang_Clean,Alternating Hang Clean,strength,compound,olympic_clean,complex_supported,hamstrings,"biceps, calves, forearms, glutes, lower back, traps","quadriceps, glutes, traps","hamstrings, calves","lower_back, forearms, abdominals, shoulders",medium,complex_pattern_bookkeeping,"biceps, lower back","abdominals, lower_back, quadriceps, shoulders"
Atlas_Stone_Trainer,Atlas Stone Trainer,strongman,compound,atlas_stone_load,complex_supported,lower back,"biceps, forearms, glutes, hamstrings, quadriceps","glutes, quadriceps, hamstrings","biceps, traps","forearms, lower_back, abdominals",medium,complex_pattern_bookkeeping,lower back,"abdominals, lower_back, traps"
Atlas_Stones,Atlas Stones,strongman,compound,atlas_stone_load,complex_supported,lower back,"abdominals, adductors, biceps, calves, forearms, glutes, hamstrings, middle back, quadriceps, traps","glutes, quadriceps, hamstrings","biceps, traps","forearms, lower_back, abdominals",medium,complex_pattern_bookkeeping,"adductors, calves, lower back, middle back",lower_back
Bottoms-Up_Clean_From_The_Hang_Position,Bottoms-Up Clean From The Hang Position,strength,compound,kettlebell_clean,complex_supported,forearms,"biceps, shoulders","glutes, hamstrings","quadriceps, traps","forearms, lower_back, abdominals",medium,complex_pattern_bookkeeping,"biceps, shoulders","abdominals, glutes, hamstrings, lower_back, quadriceps, traps"
Circus_Bell,Circus Bell,strongman,compound,strongman_overhead,complex_supported,shoulders,"forearms, glutes, hamstrings, lower back, traps, triceps","shoulders, triceps, quadriceps, glutes","traps, calves","forearms, lower_back, abdominals",medium,complex_pattern_bookkeeping,"hamstrings, lower back","abdominals, calves, lower_back, quadriceps"
Clean,Clean,olympic weightlifting,compound,olympic_clean,complex_supported,hamstrings,"calves, forearms, glutes, lower back, quadriceps, shoulders, traps","quadriceps, glutes, traps","hamstrings, calves","lower_back, forearms, abdominals, shoulders",medium,complex_pattern_bookkeeping,lower back,"abdominals, lower_back"
Clean_and_Jerk,Clean and Jerk,olympic weightlifting,compound,olympic_clean_and_jerk,complex_supported,shoulders,"abdominals, glutes, hamstrings, lower back, quadriceps, traps, triceps","quadriceps, glutes, traps, shoulders, triceps","hamstrings, calves","lower_back, forearms, abdominals",medium,complex_pattern_bookkeeping,lower back,"calves, forearms, lower_back"
Clean_and_Press,Clean and Press,strength,compound,olympic_clean_and_jerk,complex_supported,shoulders,"abdominals, calves, glutes, hamstrings, lower back, middle back, quadriceps, shoulders, traps, triceps","quadriceps, glutes, traps, shoulders, triceps","hamstrings, calves","lower_back, forearms, abdominals",medium,complex_pattern_bookkeeping,"lower back, middle back","forearms, lower_back"
Clean_from_Blocks,Clean from Blocks,olympic weightlifting,compound,olympic_clean,complex_supported,quadriceps,"calves, glutes, hamstrings, shoulders, traps","quadriceps, glutes, traps","hamstrings, calves","lower_back, forearms, abdominals, shoulders",medium,complex_pattern_bookkeeping,,"abdominals, forearms, lower_back"
Clean_Pull,Clean Pull,olympic weightlifting,compound,olympic_clean_pull,complex_supported,quadriceps,"forearms, glutes, hamstrings, lower back, traps","quadriceps, glutes, traps","hamstrings, calves","lower_back, forearms, abdominals",medium,complex_pattern_bookkeeping,lower back,"abdominals, calves, lower_back"
Conans_Wheel,Conan's Wheel,strongman,compound,strongman_carry,complex_supported,quadriceps,"abdominals, biceps, calves, forearms, lower back, shoulders, traps","quadriceps, glutes","traps, biceps","abdominals, lower_back",medium,complex_pattern_bookkeeping,"calves, forearms, lower back, shoulders","glutes, lower_back"
Double_Kettlebell_Alternating_Hang_Clean,Double Kettlebell Alternating Hang Clean,strength,compound,kettlebell_clean,complex_supported,hamstrings,"biceps, calves, forearms, glutes, lower back, quadriceps, traps","glutes, hamstrings","quadriceps, traps","forearms, lower_back, abdominals",medium,complex_pattern_bookkeeping,"biceps, calves, lower back","abdominals, lower_back"
Double_Kettlebell_Jerk,Double Kettlebell Jerk,strength,compound,kettlebell_jerk,complex_supported,shoulders,"calves, quadriceps, triceps","shoulders, triceps, quadriceps, glutes",calves,"forearms, abdominals, traps",medium,complex_pattern_bookkeeping,,"abdominals, forearms, glutes, traps"
Double_Kettlebell_Push_Press,Double Kettlebell Push Press,strength,compound,push_press,complex_supported,shoulders,"calves, quadriceps, triceps","shoulders, triceps, quadriceps, glutes",calves,"abdominals, traps",medium,complex_pattern_bookkeeping,,"abdominals, glutes, traps"
Double_Kettlebell_Snatch,Double Kettlebell Snatch,strength,compound,kettlebell_snatch,complex_supported,shoulders,"glutes, hamstrings, quadriceps","glutes, hamstrings","quadriceps, traps, shoulders","forearms, lower_back, abdominals",medium,complex_pattern_bookkeeping,,"abdominals, forearms, lower_back, traps"
Double_Kettlebell_Windmill,Double Kettlebell Windmill,strength,,kettlebell_windmill,complex_supported,abdominals,"glutes, hamstrings, shoulders, triceps",abdominals,"glutes, hamstrings","shoulders, triceps",medium,complex_pattern_bookkeeping,,
Dumbbell_Clean,Dumbbell Clean,strength,compound,olympic_clean,complex_supported,hamstrings,"calves, forearms, glutes, lower back, quadriceps, shoulders, traps","quadriceps, glutes, traps","hamstrings, calves","lower_back, forearms, abdominals, shoulders",medium,complex_pattern_bookkeeping,lower back,"abdominals, lower_back"
Farmers_Walk,Farmer's Walk,strongman,compound,farmer_carry,complex_supported,forearms,"abdominals, glutes, hamstrings, lower back, quadriceps, traps","forearms, traps",,"abdominals, lower_back",medium,complex_pattern_bookkeeping,"glutes, hamstrings, lower back, quadriceps",lower_back
Forward_Drag_with_Press,Forward Drag with Press,strongman,compound,drag_with_press,complex_supported,chest,"calves, glutes, hamstrings, quadriceps, shoulders, triceps","quadriceps, glutes, chest, triceps","calves, hamstrings, shoulders","abdominals, forearms",medium,complex_pattern_bookkeeping,,"abdominals, forearms"
Hang_Clean,Hang Clean,olympic weightlifting,compound,olympic_clean,complex_supported,quadriceps,"calves, forearms, glutes, hamstrings, lower back, shoulders, traps","quadriceps, glutes, traps","hamstrings, calves","lower_back, forearms, abdominals, shoulders",medium,complex_pattern_bookkeeping,lower back,"abdominals, lower_back"
Hang_Clean_-_Below_the_Knees,Hang Clean - Below the Knees,olympic weightlifting,compound,olympic_clean,complex_supported,quadriceps,"calves, forearms, glutes, hamstrings, lower back, shoulders, traps","quadriceps, glutes, traps","hamstrings, calves","lower_back, forearms, abdominals, shoulders",medium,complex_pattern_bookkeeping,lower back,"abdominals, lower_back"
Hang_Snatch,Hang Snatch,olympic weightlifting,compound,olympic_snatch,complex_supported,hamstrings,"abdominals, calves, forearms, glutes, lower back, quadriceps, shoulders, traps","quadriceps, glutes, traps","hamstrings, calves","shoulders, triceps, lower_back, forearms, abdominals",medium,complex_pattern_bookkeeping,lower back,"lower_back, triceps"
Hang_Snatch_-_Below_Knees,Hang Snatch - Below Knees,olympic weightlifting,compound,olympic_snatch,complex_supported,hamstrings,"abdominals, calves, forearms, glutes, lower back, quadriceps, shoulders, traps","quadriceps, glutes, traps","hamstrings, calves","shoulders, triceps, lower_back, forearms, abdominals",medium,complex_pattern_bookkeeping,lower back,"lower_back, triceps"
Heaving_Snatch_Balance,Heaving Snatch Balance,olympic weightlifting,compound,snatch_balance,complex_supported,quadriceps,"abdominals, forearms, glutes, hamstrings, shoulders, triceps","quadriceps, glutes","shoulders, triceps","traps, abdominals",medium,complex_pattern_bookkeeping,"forearms, hamstrings",traps
Jerk_Balance,Jerk Balance,olympic weightlifting,compound,olympic_jerk,complex_supported,shoulders,"glutes, hamstrings, quadriceps, triceps","shoulders, triceps, quadriceps, glutes",calves,"abdominals, traps",medium,complex_pattern_bookkeeping,hamstrings,"abdominals, calves, traps"
Keg_Load,Keg Load,strongman,compound,loaded_object_load,complex_supported,lower back,"abdominals, biceps, calves, forearms, glutes, hamstrings, middle back, quadriceps, shoulders, traps","glutes, quadriceps, hamstrings","biceps, traps","forearms, lower_back, abdominals",medium,complex_pattern_bookkeeping,"calves, lower back, middle back, shoulders",lower_back
Kettlebell_Dead_Clean,Kettlebell Dead Clean,strength,compound,kettlebell_clean,complex_supported,hamstrings,"calves, glutes, lower back, quadriceps, traps","glutes, hamstrings","quadriceps, traps","forearms, lower_back, abdominals",medium,complex_pattern_bookkeeping,"calves, lower back","abdominals, forearms, lower_back"
Kettlebell_Figure_8,Kettlebell Figure 8,strength,,kettlebell_figure8,complex_supported,abdominals,"hamstrings, shoulders",abdominals,"glutes, hamstrings, shoulders","forearms, lower_back",medium,complex_pattern_bookkeeping,,"forearms, glutes, lower_back"
Kettlebell_Hang_Clean,Kettlebell Hang Clean,strength,compound,kettlebell_clean,complex_supported,hamstrings,"calves, glutes, lower back, shoulders, traps","glutes, hamstrings","quadriceps, traps","forearms, lower_back, abdominals",medium,complex_pattern_bookkeeping,"calves, lower back, shoulders","abdominals, forearms, lower_back, quadriceps"
Kettlebell_Pass_Between_The_Legs,Kettlebell Pass Between The Legs,strength,compound,kettlebell_figure8,complex_supported,abdominals,"glutes, hamstrings, shoulders",abdominals,"glutes, hamstrings, shoulders","forearms, lower_back",medium,complex_pattern_bookkeeping,,"forearms, lower_back"
Kettlebell_Pirate_Ships,Kettlebell Pirate Ships,strength,compound,kettlebell_pirate_ships,complex_supported,shoulders,abdominals,"shoulders, abdominals",lats,"forearms, lower_back",medium,complex_pattern_bookkeeping,,"forearms, lats, lower_back"
Kettlebell_Sumo_High_Pull,Kettlebell Sumo High Pull,strength,compound,kettlebell_sumo_high_pull,complex_supported,traps,"adductors, glutes, hamstrings, quadriceps, shoulders","glutes, quadriceps, traps, shoulders","hamstrings, adductors, biceps","forearms, abdominals",medium,complex_pattern_bookkeeping,,"abdominals, biceps, forearms"
Kettlebell_Thruster,Kettlebell Thruster,strength,compound,thruster,complex_supported,shoulders,"quadriceps, triceps","quadriceps, glutes, shoulders, triceps",calves,"abdominals, traps",medium,complex_pattern_bookkeeping,,"abdominals, calves, glutes, traps"
Kettlebell_Windmill,Kettlebell Windmill,strength,compound,kettlebell_windmill,complex_supported,abdominals,"glutes, hamstrings, shoulders, triceps",abdominals,"glutes, hamstrings","shoulders, triceps",medium,complex_pattern_bookkeeping,,
Landmine_Linear_Jammer,Landmine Linear Jammer,strength,compound,push_press,complex_supported,shoulders,"abdominals, calves, chest, hamstrings, quadriceps, triceps","shoulders, triceps, quadriceps, glutes",calves,"abdominals, traps",medium,complex_pattern_bookkeeping,"chest, hamstrings","glutes, traps"
Log_Lift,Log Lift,strongman,compound,strongman_overhead,complex_supported,shoulders,"abdominals, chest, glutes, hamstrings, lower back, middle back, quadriceps, traps, triceps","shoulders, triceps, quadriceps, glutes","traps, calves","forearms, lower_back, abdominals",medium,complex_pattern_bookkeeping,"chest, hamstrings, lower back, middle back","calves, forearms, lower_back"
Muscle_Snatch,Muscle Snatch,olympic weightlifting,compound,olympic_snatch,complex_supported,hamstrings,"glutes, lower back, quadriceps, shoulders, triceps","quadriceps, glutes, traps","hamstrings, calves","shoulders, triceps, lower_back, forearms, abdominals",medium,complex_pattern_bookkeeping,lower back,"abdominals, calves, forearms, lower_back, traps"
One-Arm_Kettlebell_Clean,One-Arm Kettlebell Clean,strength,compound,kettlebell_clean,complex_supported,hamstrings,"glutes, lower back, shoulders, traps","glutes, hamstrings","quadriceps, traps","forearms, lower_back, abdominals",medium,complex_pattern_bookkeeping,"lower back, shoulders","abdominals, forearms, lower_back, quadriceps"
One-Arm_Kettlebell_Clean_and_Jerk,One-Arm Kettlebell Clean and Jerk,strength,compound,olympic_clean_and_jerk,complex_supported,shoulders,,"quadriceps, glutes, traps, shoulders, triceps","hamstrings, calves","lower_back, forearms, abdominals",medium,complex_pattern_bookkeeping,,"abdominals, calves, forearms, glutes, hamstrings, lower_back, quadriceps, traps, triceps"
One-Arm_Kettlebell_Jerk,One-Arm Kettlebell Jerk,strength,compound,kettlebell_jerk,complex_supported,shoulders,"calves, quadriceps, triceps","shoulders, triceps, quadriceps, glutes",calves,"forearms, abdominals, traps",medium,complex_pattern_bookkeeping,,"abdominals, forearms, glutes, traps"
One-Arm_Kettlebell_Push_Press,One-Arm Kettlebell Push Press,strength,compound,push_press,complex_supported,shoulders,"calves, quadriceps, triceps","shoulders, triceps, quadriceps, glutes",calves,"abdominals, traps",medium,complex_pattern_bookkeeping,,"abdominals, glutes, traps"
One-Arm_Kettlebell_Snatch,One-Arm Kettlebell Snatch,strength,compound,kettlebell_snatch,complex_supported,shoulders,"calves, glutes, hamstrings, lower back, traps, triceps","glutes, hamstrings","quadriceps, traps, shoulders","forearms, lower_back, abdominals",medium,complex_pattern_bookkeeping,"calves, lower back, triceps","abdominals, forearms, lower_back, quadriceps"
One-Arm_Kettlebell_Split_Jerk,One-Arm Kettlebell Split Jerk,strength,compound,kettlebell_jerk,complex_supported,shoulders,"glutes, hamstrings, quadriceps, triceps","shoulders, triceps, quadriceps, glutes",calves,"forearms, abdominals, traps",medium,complex_pattern_bookkeeping,hamstrings,"abdominals, calves, forearms, traps"
One-Arm_Kettlebell_Split_Snatch,One-Arm Kettlebell Split Snatch,strength,compound,kettlebell_snatch,complex_supported,shoulders,"hamstrings, quadriceps","glutes, hamstrings","quadriceps, traps, shoulders","forearms, lower_back, abdominals",medium,complex_pattern_bookkeeping,,"abdominals, forearms, glutes, lower_back, traps"
One-Arm_Kettlebell_Swings,One-Arm Kettlebell Swings,strength,compound,kettlebell_swing,complex_supported,hamstrings,"calves, glutes, lower back, shoulders","glutes, hamstrings",,"lower_back, forearms",medium,complex_pattern_bookkeeping,"calves, lower back, shoulders","forearms, lower_back"
One-Arm_Open_Palm_Kettlebell_Clean,One-Arm Open Palm Kettlebell Clean,strength,compound,kettlebell_clean,complex_supported,hamstrings,"forearms, glutes, lower back, quadriceps, shoulders","glutes, hamstrings","quadriceps, traps","forearms, lower_back, abdominals",medium,complex_pattern_bookkeeping,"lower back, shoulders","abdominals, lower_back, traps"
Open_Palm_Kettlebell_Clean,Open Palm Kettlebell Clean,strength,compound,kettlebell_clean,complex_supported,hamstrings,"glutes, lower back, quadriceps, shoulders","glutes, hamstrings","quadriceps, traps","forearms, lower_back, abdominals",medium,complex_pattern_bookkeeping,"lower back, shoulders","abdominals, forearms, lower_back, traps"
Power_Clean,Power Clean,strength,compound,olympic_clean,complex_supported,hamstrings,"calves, forearms, glutes, lower back, middle back, quadriceps, shoulders, traps, triceps","quadriceps, glutes, traps","hamstrings, calves","lower_back, forearms, abdominals, shoulders",medium,complex_pattern_bookkeeping,"lower back, middle back, triceps","abdominals, lower_back"
Power_Clean_from_Blocks,Power Clean from Blocks,olympic weightlifting,compound,olympic_clean,complex_supported,hamstrings,quadriceps,"quadriceps, glutes, traps","hamstrings, calves","lower_back, forearms, abdominals, shoulders",medium,complex_pattern_bookkeeping,,"abdominals, calves, forearms, glutes, lower_back, shoulders, traps"
Power_Jerk,Power Jerk,olympic weightlifting,compound,olympic_jerk,complex_supported,quadriceps,"abdominals, calves, glutes, hamstrings, shoulders, triceps","shoulders, triceps, quadriceps, glutes",calves,"abdominals, traps",medium,complex_pattern_bookkeeping,hamstrings,traps
Power_Snatch,Power Snatch,olympic weightlifting,compound,olympic_snatch,complex_supported,hamstrings,"calves, glutes, lower back, quadriceps, shoulders, traps, triceps","quadriceps, glutes, traps","hamstrings, calves","shoulders, triceps, lower_back, forearms, abdominals",medium,complex_pattern_bookkeeping,lower back,"abdominals, forearms, lower_back"
Power_Snatch_from_Blocks,Power Snatch from Blocks,olympic weightlifting,compound,olympic_snatch,complex_supported,quadriceps,"calves, forearms, glutes, hamstrings, lower back, shoulders, traps, triceps","quadriceps, glutes, traps","hamstrings, calves","shoulders, triceps, lower_back, forearms, abdominals",medium,complex_pattern_bookkeeping,lower back,"abdominals, lower_back"
Power_Stairs,Power Stairs,strongman,compound,power_stairs,complex_supported,hamstrings,"adductors, calves, glutes, lower back, quadriceps, shoulders, traps","quadriceps, glutes","hamstrings, calves","lower_back, abdominals",medium,complex_pattern_bookkeeping,"adductors, lower back, shoulders, traps","abdominals, lower_back"
Push_Press,Push Press,olympic weightlifting,compound,push_press,complex_supported,shoulders,"quadriceps, triceps","shoulders, triceps, quadriceps, glutes",calves,"abdominals, traps",medium,complex_pattern_bookkeeping,,"abdominals, calves, glutes, traps"
Push_Press_-_Behind_the_Neck,Push Press - Behind the Neck,olympic weightlifting,compound,push_press,complex_supported,shoulders,"calves, quadriceps, triceps","shoulders, triceps, quadriceps, glutes",calves,"abdominals, traps",medium,complex_pattern_bookkeeping,,"abdominals, glutes, traps"
Rack_Delivery,Rack Delivery,olympic weightlifting,compound,strongman_overhead,complex_supported,shoulders,"forearms, traps","shoulders, triceps, quadriceps, glutes","traps, calves","forearms, lower_back, abdominals",medium,complex_pattern_bookkeeping,,"abdominals, calves, glutes, lower_back, quadriceps, triceps"
Rickshaw_Carry,Rickshaw Carry,strongman,compound,loaded_carry,complex_supported,forearms,"abdominals, calves, glutes, hamstrings, lower back, quadriceps, traps",forearms,traps,"abdominals, lower_back",medium,complex_pattern_bookkeeping,"calves, glutes, hamstrings, lower back, quadriceps",lower_back
Sandbag_Load,Sandbag Load,strongman,compound,loaded_object_load,complex_supported,quadriceps,"abdominals, biceps, calves, forearms, glutes, hamstrings, lower back, middle back, shoulders, traps","glutes, quadriceps, hamstrings","biceps, traps","forearms, lower_back, abdominals",medium,complex_pattern_bookkeeping,"calves, lower back, middle back, shoulders",lower_back
Single-Arm_Linear_Jammer,Single-Arm Linear Jammer,strength,compound,push_press,complex_supported,shoulders,"chest, triceps","shoulders, triceps, quadriceps, glutes",calves,"abdominals, traps",medium,complex_pattern_bookkeeping,chest,"abdominals, calves, glutes, quadriceps, traps"
Smith_Machine_Hang_Power_Clean,Smith Machine Hang Power Clean,strength,compound,olympic_clean,complex_supported,hamstrings,"glutes, lower back, quadriceps, shoulders, traps","quadriceps, glutes, traps","hamstrings, calves","lower_back, forearms, abdominals, shoulders",medium,complex_pattern_bookkeeping,lower back,"abdominals, calves, forearms, lower_back"
Snatch,Snatch,olympic weightlifting,compound,olympic_snatch,complex_supported,quadriceps,"biceps, glutes, hamstrings, lower back, shoulders, traps, triceps","quadriceps, glutes, traps","hamstrings, calves","shoulders, triceps, lower_back, forearms, abdominals",medium,complex_pattern_bookkeeping,"biceps, lower back","abdominals, calves, forearms, lower_back"
Snatch_Balance,Snatch Balance,olympic weightlifting,compound,snatch_balance,complex_supported,quadriceps,"calves, glutes, hamstrings, shoulders, triceps","quadriceps, glutes","shoulders, triceps","traps, abdominals",medium,complex_pattern_bookkeeping,"calves, hamstrings","abdominals, traps"
Snatch_from_Blocks,Snatch from Blocks,olympic weightlifting,compound,olympic_snatch,complex_supported,quadriceps,"calves, forearms, glutes, hamstrings, lower back, shoulders, traps, triceps","quadriceps, glutes, traps","hamstrings, calves","shoulders, triceps, lower_back, forearms, abdominals",medium,complex_pattern_bookkeeping,lower back,"abdominals, lower_back"
Snatch_Pull,Snatch Pull,strength,compound,olympic_snatch_pull,complex_supported,hamstrings,"calves, glutes, lower back, quadriceps, traps","quadriceps, glutes, traps","hamstrings, calves","lower_back, forearms, abdominals",medium,complex_pattern_bookkeeping,lower back,"abdominals, forearms, lower_back"
Split_Clean,Split Clean,olympic weightlifting,compound,olympic_clean,complex_supported,quadriceps,"calves, forearms, glutes, hamstrings, lower back, shoulders, traps","quadriceps, glutes, traps","hamstrings, calves","lower_back, forearms, abdominals, shoulders",medium,complex_pattern_bookkeeping,lower back,"abdominals, lower_back"
Split_Jerk,Split Jerk,olympic weightlifting,compound,olympic_jerk,complex_supported,quadriceps,"glutes, hamstrings, shoulders, triceps","shoulders, triceps, quadriceps, glutes",calves,"abdominals, traps",medium,complex_pattern_bookkeeping,hamstrings,"abdominals, calves, traps"
Split_Snatch,Split Snatch,olympic weightlifting,compound,olympic_snatch,complex_supported,hamstrings,"calves, forearms, glutes, hamstrings, lower back, quadriceps, shoulders, traps, triceps","quadriceps, glutes, traps","hamstrings, calves","shoulders, triceps, lower_back, forearms, abdominals",medium,complex_pattern_bookkeeping,lower back,"abdominals, lower_back"
Tire_Flip,Tire Flip,strongman,compound,tire_flip,complex_supported,quadriceps,"calves, chest, forearms, glutes, hamstrings, lower back, shoulders, traps, triceps","glutes, quadriceps, hamstrings","chest, triceps, calves","lower_back, forearms, abdominals",medium,complex_pattern_bookkeeping,"lower back, shoulders, traps","abdominals, lower_back"
Two-Arm_Kettlebell_Clean,Two-Arm Kettlebell Clean,strength,compound,kettlebell_clean,complex_supported,shoulders,"calves, glutes, hamstrings, lower back, traps","glutes, hamstrings","quadriceps, traps","forearms, lower_back, abdominals",medium,complex_pattern_bookkeeping,"calves, lower back, shoulders","abdominals, forearms, lower_back, quadriceps"
